Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
17.4,1011,1,,
17.4167,1012,1,,
17.4333,1013,1,,
17.45,1014,1,,
17.4667,1015,1,,
17.4833,1016,1,,
17.5,1017,1,,
17.5167,1018,1,,
17.5333,1019,1,,
17.55,1020,1,,
17.5667,1021,1,,
17.5833,1022,1,,
17.6,1023,1,,
17.6167,1024,1,,
17.6333,1025,1,,
17.65,1026,1,,
17.6667,1027,1,,
17.6833,1028,1,,
17.7,1029,1,,
17.7167,1030,1,,
17.7333,1031,1,,
17.75,1032,1,,
17.7667,1033,1,,
17.7833,1034,1,,
17.8,1035,1,,
17.8167,1036,1,,
17.8333,1037,1,,
17.85,1038,1,,
17.8667,1039,1,,
17.8833,1040,1,,
17.9,1041,1,,
17.9167,1042,1,,
17.9333,1043,1,,
17.95,1044,1,,
17.9667,1045,1,,
17.9833,1046,1,,
18,1047,1,,
18.0167,1048,1,,
18.0333,1049,1,,
18.05,1050,1,,
18.0667,1051,1,,
18.0833,1052,1,,
18.1,1053,1,,
18.1167,1054,1,,
18.1333,1055,1,,
18.15,1056,1,,
18.1667,1057,1,,
18.1833,1058,1,,
18.2,1059,1,,
18.2167,1060,1,,
18.2333,1061,1,,
18.25,1062,1,,
18.2667,1063,1,,
18.2833,1064,1,,
18.3,1065,1,,
18.3167,1066,1,,
18.3333,1067,1,,
18.35,1068,1,,
18.3667,1069,1,,
18.3833,1070,1,,
18.4,1071,1,,
18.4167,1072,1,,
18.4333,1073,1,,
18.45,1074,1,,
18.4667,1075,1,,
18.4833,1076,1,,
18.5,1077,1,,
18.5167,1078,1,,
18.5333,1079,1,,
18.55,1080,1,,
18.5667,1081,1,,
18.5833,1082,1,,
18.6,1083,1,,
18.6167,1084,1,,
18.6333,1085,1,,
18.65,1086,1,,
18.6667,1087,1,,
18.6833,1088,1,,
18.7,1089,1,,
18.7167,1090,1,,
18.7333,1091,1,,
18.75,1092,1,,
18.7667,1093,1,,
18.7833,1094,1,,
18.8,1095,1,,
18.8167,1096,1,,
18.8333,1097,1,,
18.85,1098,1,,
18.8667,1099,1,,
18.8833,1100,1,,
18.9,1101,1,,
18.9167,1102,1,,
18.9333,1103,1,,
18.95,1104,1,,
18.9667,1105,1,,
18.9833,1106,1,,
19,1107,1,,
19.0167,1108,1,,
19.0333,1109,1,,
19.05,1110,1,,
19.0667,1111,1,,
19.0833,1112,1,,
19.1,1113,1,,
19.1167,1114,1,,
19.1333,1115,1,,
19.15,1116,1,,
19.1667,1117,1,,
19.1833,1118,1,,
19.2,1119,1,,
19.2167,1120,1,,
19.2333,1121,1,,
19.25,1122,1,,
19.2667,1123,1,,
19.2833,1124,1,,
19.3,1125,1,,
19.3167,1126,1,,
19.3333,1127,1,,
19.35,1128,1,,
19.3667,1129,1,,
19.3833,1130,1,,
19.4,1131,1,,
19.4167,1132,1,,
19.4333,1133,1,,
19.45,1134,1,,
19.4667,1135,1,,
19.4833,1136,1,,
19.5,1137,1,,
19.5167,1138,1,,
19.5333,1139,1,,
19.55,1140,1,,
19.5667,1141,1,,
19.5833,1142,1,,
19.6,1143,1,,
19.6167,1144,1,,
19.6333,1145,1,,
19.65,1146,1,,
19.6667,1147,1,,
19.6833,1148,1,,
19.7,1149,1,,
19.7167,1150,1,,
19.7333,1151,1,,
19.75,1152,1,,
19.7667,1153,1,,
19.7833,1154,1,,
19.8,1155,1,,
19.8167,1156,1,,
19.8333,1157,1,,
19.85,1158,1,,
19.8667,1159,1,,
19.8833,1160,1,,
19.9,1161,1,,
19.9167,1162,1,,
19.9333,1163,1,,
19.95,1164,1,,
19.9667,1165,1,,
19.9833,1166,1,,
20,1167,1,,
20.0167,1168,1,,
20.0333,1169,1,,
20.05,1170,1,,
20.0667,1171,1,,
20.0833,1172,1,,
20.1,1173,1,,
20.1167,1174,1,,
20.1333,1175,1,,
20.15,1176,1,,
20.1667,1177,1,,
20.1833,1178,1,,
20.2,1179,1,,
20.2167,1180,1,,
20.2333,1181,1,,
20.25,1182,1,,
20.2667,1183,1,,
20.2833,1184,1,,
20.3,1185,1,,
20.3167,1186,1,,
20.3333,1187,1,,
20.35,1188,1,,
20.3667,1189,1,,
