Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
19.5833,1144,1,,
19.6,1145,1,,
19.6167,1146,1,,
19.6333,1147,1,,
19.65,1148,1,,
19.6667,1149,1,,
19.6833,1150,1,,
19.7,1151,1,,
19.7167,1152,1,,
19.7333,1153,1,,
19.75,1154,1,,
19.7667,1155,1,,
19.7833,1156,1,,
19.8,1157,1,,
19.8167,1158,1,,
19.8333,1159,1,,
19.85,1160,1,,
19.8667,1161,1,,
19.8833,1162,1,,
19.9,1163,1,,
19.9167,1164,1,,
19.9333,1165,1,,
19.95,1166,1,,
19.9667,1167,1,,
19.9833,1168,1,,
20,1169,1,,
20.0167,1170,1,,
20.0333,1171,1,,
20.05,1172,1,,
20.0667,1173,1,,
20.0833,1174,1,,
20.1,1175,1,,
20.1167,1176,1,,
20.1333,1177,1,,
20.15,1178,1,,
20.1667,1179,1,,
20.1833,1180,1,,
20.2,1181,1,,
20.2167,1182,1,,
20.2333,1183,1,,
20.25,1184,1,,
20.2667,1185,1,,
20.2833,1186,1,,
20.3,1187,1,,
20.3167,1188,1,,
20.3333,1189,1,,
20.35,1190,1,,
20.3667,1191,1,,
20.3833,1192,1,,
20.4,1193,1,,
20.4167,1194,1,,
20.4333,1195,1,,
20.45,1196,1,,
20.4667,1197,1,,
20.4833,1198,1,,
20.5,1199,1,,
20.5167,1200,1,,
20.5333,1201,1,,
20.55,1202,1,,
20.5667,1203,1,,
20.5833,1204,1,,
20.6,1205,1,,
20.6167,1206,1,,
20.6333,1207,1,,
20.65,1208,1,,
20.6667,1209,1,,
20.6833,1210,1,,
20.7,1211,1,,
20.7167,1212,1,,
20.7333,1213,1,,
20.75,1214,1,,
20.7667,1215,1,,
20.7833,1216,1,,
20.8,1217,1,,
20.8167,1218,1,,
20.8333,1219,1,,
20.85,1220,1,,
20.8667,1221,1,,
20.8833,1222,1,,
20.9,1223,1,,
20.9167,1224,1,,
20.9333,1225,1,,
20.95,1226,1,,
20.9667,1227,1,,
20.9833,1228,1,,
21,1229,1,,
21.0167,1230,1,,
21.0333,1231,1,,
21.05,1232,1,,
21.0667,1233,1,,
21.0833,1234,1,,
21.1,1235,1,,
21.1167,1236,1,,
21.1333,1237,1,,
21.15,1238,1,,
21.1667,1239,1,,
21.1833,1240,1,,
21.2,1241,1,,
21.2167,1242,1,,
21.2333,1243,1,,
21.25,1244,1,,
21.2667,1245,1,,
21.2833,1246,1,,
21.3,1247,1,,
21.3167,1248,1,,
21.3333,1249,1,,
21.35,1250,1,,
21.3667,1251,1,,
21.3833,1252,1,,
21.4,1253,1,,
21.4167,1254,1,,
